epoch;loss;msenonzero;r2_keras;val_loss;val_msenonzero;val_r2_keras
0;100.95564270019531;90.8544921875;0.11255216598510742;91.04347229003906;82.50663757324219;0.21197283267974854
1;82.79014587402344;74.55914306640625;0.27144694328308105;73.0466537475586;64.68502044677734;0.38221174478530884
2;61.9753532409668;53.30105972290039;0.4791904091835022;59.57853698730469;50.94822311401367;0.5135088562965393
3;57.79389190673828;49.29182434082031;0.518134355545044;57.74964141845703;49.35177230834961;0.5287823677062988
4;55.79133224487305;47.54826354980469;0.5352234840393066;56.02911376953125;47.93328857421875;0.5421766638755798
5;53.517333984375;45.553733825683594;0.5547694563865662;52.95637893676758;45.082523345947266;0.5695602297782898
6;50.82775115966797;43.069923400878906;0.5790128707885742;50.54411697387695;42.86732864379883;0.5906153917312622
7;48.657466888427734;41.086647033691406;0.5984504818916321;48.345794677734375;40.84844970703125;0.6099928617477417
8;46.43827819824219;38.976158142089844;0.6190205812454224;45.94990921020508;38.490516662597656;0.6324330568313599
9;43.560569763183594;36.085243225097656;0.6472237706184387;42.472625732421875;34.9482421875;0.6663053631782532
10;39.915767669677734;32.3931770324707;0.6834170818328857;38.7609748840332;31.25755500793457;0.7016537189483643
11;36.136112213134766;28.58885383605957;0.72047358751297;34.883583068847656;27.28223419189453;0.7395049333572388
12;32.39899444580078;24.833005905151367;0.7573607563972473;31.345748901367188;23.79913330078125;0.7727181911468506
13;29.50358772277832;21.99580192565918;0.7849826216697693;28.490501403808594;21.014022827148438;0.7993847131729126
14;27.09726333618164;19.672853469848633;0.8076402544975281;26.452354431152344;19.04833221435547;0.818092942237854
15;25.26076316833496;17.924175262451172;0.8247216939926147;24.949525833129883;17.72743797302246;0.8307920098304749
16;23.886051177978516;16.664932250976562;0.8370903730392456;23.626007080078125;16.489280700683594;0.8425412178039551
17;22.78555679321289;15.697269439697266;0.8464452028274536;22.816774368286133;15.71082592010498;0.8500829935073853
18;21.73076629638672;14.76255989074707;0.8556626439094543;21.61675453186035;14.684767723083496;0.8598223328590393
19;20.951980590820312;14.110601425170898;0.8619508147239685;20.84783363342285;14.057815551757812;0.8658081889152527
20;20.24310874938965;13.509747505187988;0.867874026298523;20.39046287536621;13.76065444946289;0.8686697483062744
21;19.653791427612305;13.0283784866333;0.8725965619087219;19.79693031311035;13.221552848815918;0.873676598072052
22;19.157691955566406;12.623385429382324;0.8765850067138672;19.44280433654785;12.843231201171875;0.8774228096008301
23;18.65998077392578;12.222867965698242;0.8804721236228943;18.885406494140625;12.462881088256836;0.8809114098548889
24;18.15004539489746;11.779293060302734;0.8848029375076294;18.367080688476562;12.058526992797852;0.8848899006843567
25;17.724870681762695;11.4286470413208;0.8882169127464294;17.97117042541504;11.712949752807617;0.8881847262382507
26;17.31814193725586;11.092860221862793;0.8914521932601929;17.93037223815918;11.72665023803711;0.8881173729896545
27;17.031658172607422;10.88394832611084;0.8935824036598206;17.173322677612305;11.086156845092773;0.8940931558609009
28;16.695632934570312;10.616706848144531;0.8961575627326965;17.192060470581055;11.114639282226562;0.8937640190124512
29;16.47035026550293;10.462800979614258;0.8977097868919373;16.467260360717773;10.477523803710938;0.8999748229980469
30;16.01308822631836;10.061046600341797;0.9015495777130127;16.196819305419922;10.262659072875977;0.9020184278488159
31;15.906580924987793;10.022477149963379;0.9019637703895569;16.07581329345703;10.197319984436035;0.9026785492897034
32;15.572908401489258;9.749099731445312;0.9045549631118774;15.775516510009766;9.936379432678223;0.9051175117492676
33;15.310574531555176;9.535246849060059;0.9066368341445923;15.737305641174316;9.99414348602295;0.9044677019119263
34;15.13812255859375;9.426040649414062;0.9077544212341309;15.325881958007812;9.643198013305664;0.9078518748283386
35;15.041259765625;9.38749885559082;0.9082441926002502;15.713501930236816;10.048029899597168;0.9041403532028198
36;14.798760414123535;9.206777572631836;0.909946620464325;15.097790718078613;9.516190528869629;0.9091514348983765
37;14.613173484802246;9.075798034667969;0.9110881090164185;14.732735633850098;9.206670761108398;0.912014365196228
38;14.433048248291016;8.951166152954102;0.9124367833137512;14.587392807006836;9.12762451171875;0.9127896428108215
39;14.298842430114746;8.868301391601562;0.9132672548294067;14.924612998962402;9.544442176818848;0.9087328910827637
40;14.138952255249023;8.763443946838379;0.9143005609512329;14.311305046081543;8.96603012084961;0.9143524169921875
41;14.060201644897461;8.740315437316895;0.9144300222396851;14.347278594970703;9.07161808013916;0.9132869839668274
42;13.98778247833252;8.72565746307373;0.9146584868431091;14.16280746459961;8.918096542358398;0.91480553150177
43;13.787969589233398;8.575498580932617;0.9161302447319031;13.978514671325684;8.76922607421875;0.9162346124649048
44;13.681395530700684;8.519122123718262;0.916642427444458;13.871472358703613;8.72661304473877;0.9165903925895691
45;13.556931495666504;8.442032814025879;0.9173657894134521;13.767206192016602;8.660964012145996;0.9171923398971558
46;13.429422378540039;8.363540649414062;0.9181280136108398;13.822860717773438;8.782910346984863;0.9160045385360718
47;13.459362983703613;8.45087718963623;0.9172632694244385;13.56636905670166;8.572511672973633;0.9180759787559509
48;13.286279678344727;8.326196670532227;0.918548583984375;13.605313301086426;8.641193389892578;0.9174056649208069
49;13.136085510253906;8.218094825744629;0.919576108455658;13.326925277709961;8.432223320007324;0.9194174408912659
50;13.083748817443848;8.214529991149902;0.9196234941482544;13.637596130371094;8.786595344543457;0.9160576462745667
51;13.095778465270996;8.283019065856934;0.9188838601112366;13.265517234802246;8.413779258728027;0.9195290207862854
52;12.966983795166016;8.195917129516602;0.9197454452514648;13.303487777709961;8.567424774169922;0.9181696176528931
